country_region,peak_new,since_peak_new,current_day,previous_day,two_days_ago,three_days_ago,five_days_ago,ten_days_ago,fifteen_days_ago,new,new_prev,new_prev_prev,new_5,new_5_prev,new_5_prev_prev,growth_rate,growth_rate_prev,growth_factor,growth_rate_5,growth_rate_5_prev,growth_factor_5
World,16850.0,3.0,181546.0,167447.0,156099.0,145193.0,125865.0,101800.0,88371.0,14099.0,11348.0,10906.0,55681.0,24065.0,13429.0,0.24242157208318646,0.04052814964239868,5.9815603283693015,1.3137751921878247,0.7920172760443815,1.6587708777632848
Italy,5198.0,3.0,27980.0,24747.0,21157.0,17660.0,12462.0,4636.0,1694.0,3233.0,3590.0,3497.0,15518.0,7826.0,2942.0,-0.09944289693593315,0.026594223620245924,-3.739266780483422,0.9828775875287503,1.6600951733514615,0.5920609874098246
Spain,2955.0,3.0,9942.0,7798.0,6391.0,5232.0,2277.0,400.0,84.0,2144.0,1407.0,1159.0,7665.0,1877.0,316.0,0.5238095238095238,0.21397756686798963,2.4479646697388637,3.0836441129461907,4.939873417721519,0.6242354514356158
France,2137.0,0.0,6650.0,4513.0,4480.0,3667.0,2284.0,653.0,130.0,2137.0,33.0,813.0,4366.0,1631.0,523.0,63.75757575757576,-0.959409594095941,-66.45501165501166,1.6768853464132434,2.118546845124283,0.791526205933327
Germany,1597.0,3.0,7272.0,5795.0,4585.0,3675.0,1908.0,670.0,130.0,1477.0,1210.0,910.0,5364.0,1238.0,540.0,0.2206611570247934,0.32967032967032966,0.6693388429752066,3.332794830371567,1.2925925925925925,2.5783799547287196
US,1133.0,0.0,4632.0,3499.0,2726.0,2179.0,1281.0,278.0,76.0,1133.0,773.0,547.0,3351.0,1003.0,202.0,0.46571798188874514,0.41316270566727603,1.1272023720935558,2.3409770687936193,3.9653465346534653,0.5903587614186157
Iran,1839.0,5.0,14991.0,13938.0,12729.0,11364.0,9000.0,4747.0,978.0,1053.0,1209.0,1365.0,5991.0,4253.0,3769.0,-0.12903225806451613,-0.11428571428571428,1.1290322580645162,0.4086527157300729,0.1284160254709472,3.1822563751790183
United Kingdom,407.0,0.0,1551.0,1144.0,1143.0,801.0,459.0,0.0,0.0,407.0,1.0,342.0,1092.0,459.0,0.0,406.0,-0.9970760233918129,-407.1906158357771,1.3790849673202614,inf,0.0
Netherlands,301.0,3.0,1414.0,1135.0,959.0,804.0,503.0,128.0,10.0,279.0,176.0,155.0,911.0,375.0,118.0,0.5852272727272727,0.13548387096774195,4.319534632034632,1.4293333333333333,2.1779661016949152,0.6562697795071336
Belgium,245.0,3.0,1058.0,886.0,689.0,559.0,314.0,109.0,2.0,172.0,197.0,130.0,744.0,205.0,107.0,-0.12690355329949238,0.5153846153846153,-0.24623077505871657,2.629268292682927,0.9158878504672897,2.8707317073170735
Canada,165.0,0.0,415.0,250.0,196.0,193.0,108.0,49.0,24.0,165.0,54.0,3.0,307.0,59.0,25.0,2.0555555555555554,17.0,0.12091503267973855,4.203389830508475,1.36,3.090727816550349
Austria,205.0,1.0,1018.0,860.0,655.0,504.0,246.0,55.0,14.0,158.0,205.0,151.0,772.0,191.0,41.0,-0.22926829268292684,0.3576158940397351,-0.6411020776874435,3.0418848167539267,3.658536585365854,0.8314485165794067
Malaysia,190.0,1.0,566.0,428.0,238.0,197.0,149.0,83.0,29.0,138.0,190.0,41.0,417.0,66.0,54.0,-0.2736842105263158,3.6341463414634148,-0.07530907806428824,5.318181818181818,0.2222222222222222,23.931818181818183
Norway,294.0,3.0,1333.0,1221.0,1090.0,996.0,598.0,108.0,19.0,112.0,131.0,94.0,735.0,490.0,89.0,-0.1450381679389313,0.39361702127659576,-0.36847534557458217,0.5,4.50561797752809,0.11097256857855363
